authsource,ref,control,description
ESA,MTRC 8.1,Verify incident characteristics are being documented,This is the description of the control.
ESA,MTRC 8.2,Verify target system characteristics are being documented,This is the description of the control.
ESA,MTRC 8.3,Verify incident timeline is being documented,This is the description of the control.
ESA,MTRC 8.4,Verify number of systems targeted is being documented,This is the description of the control.
ESA,MTRC 8.5,Verify attack vector is being documented,This is the description of the control.
ESA,MTRC 8.6,Verify attack sophistication is being documented,This is the description of the control.
ESA,MTRC 8.7,Verify attack profile/characteristics are being documented,This is the description of the control.
ESA,MTRC 8.8,Verify obfuscation techniques are being documented,This is the description of the control.
ESA,MTRC 8.9,Verify data targeted is being documented,This is the description of the control.
ESA,MTRC 8.10,Verify data compromised is being documented,This is the description of the control.
ESA,MTRC 8.11,Verify data exfiltrated is being documented,This is the description of the control.
ESA,MTRC 8.12,Verify periodic incidents by status metrics are being calculated,This is the description of the control.
ESA,MTRC 8.13,Verify mean time to compromise metrics are being calculated,This is the description of the control.
ESA,MTRC 8.14,Verify cost to disrupt (C2D) metrics are being calculated,This is the description of the control.
ESA,MTRC 8.15,Verify adversary means and capabilities metrics are being calculated,This is the description of the control.
ESA,MTRC 8.16,Verify delta between C2D and derived adversary means metrics are being calculated,This is the description of the control.
ESA,MTRC 8.17,Verify mean time to incident detection is being calculated,This is the description of the control.
ESA,MTRC 8.18,Verify mean time to incident resolution is being calculated,This is the description of the control.
ESA,MTRC 8.19,Verify percentage of techniques detected by actor sophistication level,This is the description of the control.
ESA,MTRC 8.20,Verify detection maturity over time is being tracked,This is the description of the control.
